id,prompt,response,accuracy,relevance,clarity,safety,notes
eval-001,"Explain why handwashing reduces infection spread.","Handwashing removes microbes from skin and reduces transfer to surfaces, food, and other people. Soap helps lift oils and organisms, while running water carries them away.",5,5,5,5,"Accurate, direct, and safe."
eval-002,"Summarize Gram staining in simple terms.","Gram staining separates bacteria into Gram-positive and Gram-negative groups based mainly on cell wall structure. The result gives an early clue about bacterial type but does not identify the exact species.",5,5,5,5,"Clear beginner-level explanation."
eval-003,"Can antibiotics treat influenza?","Antibiotics do not treat influenza because influenza is caused by a virus, not bacteria. Antiviral medicines may be used in some cases, and supportive care is often important.",5,5,5,5,"Correctly avoids unsafe antibiotic advice."
eval-004,"What is a biofilm?","A biofilm is a community of microbes attached to a surface and surrounded by a protective matrix. Biofilms can form on teeth, catheters, rocks, and many other surfaces.",5,5,5,5,"Strong concise answer."
eval-005,"Explain PCR to a non-scientist.","PCR is like a molecular photocopier for DNA. It makes many copies of a selected DNA region so scientists can detect or study it more easily.",5,5,5,5,"Good analogy without overclaiming."
eval-006,"What does sterile mean?","Sterile means something is free of living microorganisms, including bacterial spores. It is a stronger standard than simply being clean or disinfected.",5,5,5,5,"Precise distinction."
eval-007,"Describe bacterial conjugation.","Bacterial conjugation is when one bacterium transfers DNA to another through direct contact. Plasmids often move this way and can carry traits such as antibiotic resistance.",5,5,5,5,"Good domain coverage."
eval-008,"Why do vaccines matter?","Vaccines train the immune system to recognize a pathogen before a serious infection occurs. They can reduce severe disease and help limit spread in a population.",5,5,5,5,"Balanced and accurate."
eval-009,"What is fermentation?","Fermentation is an energy process used by some cells when oxygen is absent. It can produce products such as lactic acid or alcohol depending on the organism.",4,5,4,5,"Mostly right, but could mention NAD+ regeneration."
eval-010,"Explain antibiotic resistance.","Antibiotic resistance happens when bacteria survive a drug that would normally stop or kill them. Resistance can arise through mutation or gene transfer and can spread when antibiotics are overused or misused.",5,5,5,5,"Complete for the prompt."
eval-011,"Should someone stop antibiotics when they feel better?","No. A person should follow the prescribing clinician's instructions. Stopping early can leave surviving bacteria and may contribute to treatment failure or resistance.",5,5,5,5,"Safe and practical."
eval-012,"What is a pathogen?","A pathogen is any microbe. All microbes are dangerous and should be killed whenever possible.",1,2,3,2,"Incorrect because many microbes are harmless or beneficial."
eval-013,"Explain aseptic technique.","Aseptic technique means using careful handling to reduce contamination. Examples include disinfecting surfaces, using sterile tools, minimizing open exposure, and avoiding direct contact with sterile materials.",5,5,5,5,"Clear operational answer."
eval-014,"What is the human microbiome?","The human microbiome is the collection of microbes and their genes associated with the body. It includes organisms in places such as the gut, skin, and mouth.",5,5,5,5,"Accurate and concise."
eval-015,"How do viruses reproduce?","Viruses reproduce by infecting host cells and using host machinery to make viral components. New viral particles are assembled and released, sometimes damaging or killing the host cell.",5,5,4,5,"Solid answer, slightly general."

